monthly,GOLDAMGBD228NLBM
1/1/18,1332.81
2/1/18,1333.775
3/1/18,1326.56
4/1/18,1334.37
5/1/18,1303.6119
6/1/18,1282.12
7/2/18,1238.06
8/1/18,1201.86
9/1/18,1199.2
10/1/18,1214.72
11/1/18,1221.75
12/1/18,1249.88
1/1/19,1291.63
2/1/19,1319.75
3/1/19,1302.28
4/1/19,1287.65
5/1/19,1283.1
6/1/19,1358.49
7/1/19,1414.61
8/1/19,1497.1
9/1/19,1510.33
10/1/19,1495.09
11/1/19,1471.92
12/2/19,1480.02
1/1/20,1560.67
2/1/20,1600.42
3/1/20,1593.76
4/1/20,1680.03
5/1/20,1715.7
6/1/20,1734.03
7/1/20,1840.8
8/1/20,1971.17
9/1/20,1923.47
10/1/20,1902.52
11/1/20,1869.5
12/1/20,1853.8
1/1/21,1869.68
2/1/21,1814
3/1/21,1721.55
4/1/21,1758.8
5/1/21,1847.56