DATE,INDPRO
1/1/18,101.3561
2/1/18,101.6495
3/1/18,102.298
4/1/18,103.4095
5/1/18,102.5408
6/1/18,103.3045
7/1/18,103.5474
8/1/18,104.1659
9/1/18,104.1315
10/1/18,103.9874
11/1/18,103.9127
12/1/18,103.867
1/1/19,103.3023
2/1/19,102.728
3/1/19,102.8635
4/1/19,102.2543
5/1/19,102.4519
6/1/19,102.384
7/1/19,102.0568
8/1/19,102.6882
9/1/19,102.3143
10/1/19,101.4645
11/1/19,101.9876
12/1/19,101.6179
1/1/20,101.0918
2/1/20,101.3247
3/1/20,97.4477
4/1/20,84.2018
5/1/20,85.8434
6/1/20,91.1622
7/1/20,94.8887
8/1/20,95.8924
9/1/20,95.6019
10/1/20,96.6454
11/1/20,97.1609
12/1/20,98.3349
1/1/21,99.3189
2/1/21,96.3932
3/1/21,98.4744
4/1/21,99.0122