DATE,PIORECRUSDM
1/1/18,75.7826087
2/1/18,77.65
3/1/18,71.31818182
4/1/18,66.33333333
5/1/18,66.63043478
6/1/18,66.85714286
7/1/18,67.04545455
8/1/18,68.02173913
9/1/18,68.8
10/1/18,72.02173913
11/1/18,72.29545455
12/1/18,68.9047619
1/1/19,75.2
2/1/19,87.59
3/1/19,87.07142857
4/1/19,94.5
5/1/19,101.7608696
6/1/19,109.55
7/1/19,119.5869565
8/1/19,93.5
9/1/19,92.26190476
10/1/19,88.58695652
11/1/19,82.9047619
12/1/19,90.97727273
1/1/20,95.2173913
2/1/20,87.625
3/1/20,88.65909091
4/1/20,83.75
5/1/20,91.33333333
6/1/20,103.3409091
7/1/20,108.0217391
8/1/20,120.0714286
9/1/20,123
10/1/20,119.25
11/1/20,123.5238095
12/1/20,153.0652174
1/1/21,166.7380952
2/1/21,162.325
3/1/21,166.7391304
4/1/21,178.25